,LP2_c1_surpass_rade,LP2_makespan,LP2_makespan_c1,LP2_makespan_c2,LP2_workload_rade,LP3_c1_surpass_rade,LP3_makespan,LP3_makespan_c1,LP3_makespan_c2,LP3_workload_rade,LP4_c1_surpass_rade,LP4_makespan,LP4_makespan_c1,LP4_makespan_c2,LP4_workload_rade,LP5_c1_surpass_rade,LP5_makespan,LP5_makespan_c1,LP5_makespan_c2,LP5_workload_rade,LP6_c1_surpass_rade,LP6_makespan,LP6_makespan_c1,LP6_makespan_c2,LP6_workload_rade,NP_c1_surpass_rade,NP_makespan_c1,NP_makespan_c2,NP_workload_rade,P_c1_surpass_rade,P_makespan,P_makespan_c1,P_makespan_c2,P_workload_rade
new_385,15.7320191705194,988327.0,590490.0,988327.0,98.49851028431596,9.878689747852892,988327.0,552138.0,988327.0,98.49850716677688,0.7642204432957206,1019714.0,501426.0,1019714.0,97.58132482576625,3.1251095112197893,1028778.0,513646.0,1028778.0,97.133326262787,0.7642204432957206,1019714.0,501426.0,1019714.0,98.59092595203872,14.418343864911442,581426.0,1019714.0,97.26484427966116,0.0,1035883.0,497594.0,1035883.0,98.09351806733778
new_386,0.0,880362.0,497594.0,880362.0,98.64244321210992,0.0,880362.0,497594.0,880362.0,98.64244321210992,1.7451503854416783,880362.0,506432.0,880362.0,98.68892704811296,0.0,880362.0,497594.0,880362.0,98.64244321210992,0.0,880362.0,497594.0,880362.0,98.96860950326868,6.815159948013618,533986.0,789426.0,98.63048545292769,0.0,860362.0,497594.0,860362.0,93.50749150198702
new_387,0.0,1047499.0,661618.0,1047499.0,93.92498634449004,0.0,1110506.0,661618.0,1110506.0,88.31958467877702,1.181724493301271,1089706.0,669530.0,1089706.0,88.67304731161897,0.0,1047499.0,661618.0,1047499.0,93.92498634449004,0.0,1077727.0,661618.0,1077727.0,99.16551470314292,1.181724493301271,669530.0,1089706.0,88.67304731161897,0.0,1047499.0,661618.0,1047499.0,93.92498634449004
new_388,0.0,780980.0,586498.0,780980.0,99.0338190714634,14.566684826467084,880978.0,686498.0,880978.0,99.99993444303789,14.566684826467084,880978.0,686498.0,880978.0,99.88133938552258,0.0,780980.0,586498.0,780980.0,99.0338190714634,14.566684826467084,876987.0,686498.0,876987.0,99.99993444303789,14.566684826467084,686498.0,880978.0,99.99993444303789,0.0,780980.0,586498.0,780980.0,99.0338190714634
new_389,0.0,938226.0,617838.0,938226.0,96.26907571987336,8.161226740711893,1044862.0,672742.0,1044862.0,98.58080470355053,11.41777327900395,1018547.0,697474.0,1018547.0,98.45557955319047,0.0,938226.0,617838.0,938226.0,96.26907571987336,11.41777327900395,1018547.0,697474.0,1018547.0,98.45557955319047,12.348236148666862,704878.0,1044862.0,96.71936017649956,0.0,938226.0,617838.0,938226.0,96.26907571987336
new_390,0.7642204432957206,706278.0,501426.0,706278.0,96.65495014769208,0.7642204432957206,706278.0,501426.0,706278.0,96.65496316812872,0.7642204432957206,742670.0,501426.0,742670.0,95.22456653879982,0.7642204432957206,706278.0,501426.0,706278.0,96.65495014769208,0.7642204432957206,742670.0,501426.0,742670.0,98.7284578001414,14.418343864911442,581426.0,707282.0,98.89381103235712,0.0,764994.0,497594.0,764994.0,93.07498331571868
new_391,1.6704529820169596,676643.0,596006.0,676643.0,99.89088505083376,0.6496214497136715,673611.0,589882.0,673611.0,99.89088505083376,0.6496214497136715,677443.0,589882.0,677443.0,98.55455417939756,1.6704529820169596,676643.0,596006.0,676643.0,99.89088505083376,0.6496214497136715,687102.0,589882.0,687102.0,99.2064714439437,11.993140255348289,665914.0,683454.0,99.31819055944965,0.0,733606.0,586050.0,733606.0,96.52590981761972
new_392,0.0,610490.0,486498.0,610490.0,92.55145749136076,6.211467502573653,610490.0,518718.0,610490.0,92.55145749136076,3.948682916813097,606499.0,506498.0,606499.0,92.55145749136076,0.0,610490.0,486498.0,610490.0,92.55145749136076,0.0,610490.0,486498.0,610490.0,92.55145749136076,6.211467502573653,518718.0,610490.0,92.55145749136076,0.0,610490.0,486498.0,610490.0,92.55145749136076
new_393,0.0,686499.0,586498.0,686499.0,99.63330667449844,0.0,686499.0,586498.0,686499.0,99.63330667449844,0.0,686499.0,586498.0,686499.0,99.63330667449844,0.0,686499.0,586498.0,686499.0,99.63330667449844,0.0,686499.0,586498.0,686499.0,99.63330667449844,0.0,586498.0,686499.0,99.63330667449844,0.0,686499.0,586498.0,686499.0,99.63330667449844
new_394,9.878689747852892,944474.0,552138.0,944474.0,99.99993160632464,9.878689747852892,944474.0,552138.0,944474.0,99.99993160632464,0.7642204432957206,888084.0,501426.0,888084.0,99.26791800865008,0.7642204432957206,888083.0,501426.0,888083.0,99.72860846679173,0.7642204432957206,888083.0,501426.0,888083.0,99.72860846679173,10.179318610939626,553986.0,942627.0,99.99993160632464,0.0,871914.0,497594.0,871914.0,94.14778402202242
new_395,0.0,746882.0,523690.0,746882.0,94.24660173465492,0.0,690490.0,523690.0,690490.0,99.9999287720624,6.333728013850783,661202.0,559102.0,661202.0,99.9999287720624,0.0,746882.0,523690.0,746882.0,94.24660173465492,6.333728013850783,661202.0,559102.0,661202.0,99.9999287720624,13.251834550845633,603690.0,690490.0,99.9999287720624,0.0,746882.0,523690.0,746882.0,94.24660173465492
new_396,0.0,879298.0,586050.0,879298.0,99.91750198058917,2.973460704292976,909098.0,604010.0,909098.0,99.9790935346462,2.652412386340608,904858.0,602018.0,904858.0,99.97486248977997,0.0,879298.0,586050.0,879298.0,99.91750198058917,0.0,879298.0,586050.0,879298.0,99.98516017360738,2.652412386340608,602018.0,904858.0,99.97486248977997,0.0,879074.0,586050.0,879074.0,99.89465795891668
new_397,-3.509498457575428,729051.0,569882.0,729051.0,99.40481806992568,1.0275064344989815,732642.0,596006.0,732642.0,99.76524787882916,1.9794148828336608,735218.0,601794.0,735218.0,99.83572932905577,-3.509498457575428,729051.0,569882.0,729051.0,99.40481806992568,1.9794148828336608,735218.0,601794.0,735218.0,99.83572932905577,1.9794148828336608,601794.0,735218.0,99.83572932905577,0.0,742442.0,589882.0,742442.0,98.89469430706691
new_398,0.0,804050.0,589882.0,804050.0,99.28945382140095,10.496193051294425,862626.0,659058.0,862626.0,99.94011972177806,11.465553210841186,813114.0,666274.0,813114.0,99.28793969631452,0.0,804050.0,589882.0,804050.0,99.28945382140095,3.552590703225912,856186.0,611610.0,856186.0,99.77021739703758,15.421100777994765,697434.0,891914.0,99.99993533068816,0.0,804050.0,589882.0,804050.0,99.28945382140095
new_399,0.0,576250.0,113706.0,576250.0,68.47033038923735,0.0,576250.0,113706.0,576250.0,68.47033038923735,0.0,576250.0,113706.0,576250.0,68.47033038923735,0.0,576250.0,113706.0,576250.0,68.47033038923735,0.0,576250.0,113706.0,576250.0,68.47033038923735,0.0,113706.0,576250.0,68.47033038923735,0.0,576250.0,113706.0,576250.0,68.47033038923735
new_400,0.0,706498.0,490490.0,706498.0,98.7239001132762,0.0,706499.0,490490.0,706499.0,98.24454533522253,0.0,706498.0,490490.0,706498.0,98.7239001132762,0.0,706498.0,490490.0,706498.0,98.7239001132762,0.0,706498.0,490490.0,706498.0,98.7239001132762,0.0,490490.0,706498.0,98.7239001132762,0.0,718718.0,490490.0,718718.0,96.21823728263276
new_401,0.0,993650.0,661618.0,993650.0,95.10336123200942,0.0,1039998.0,661618.0,1039998.0,95.06232960681383,3.816978109363052,1052106.0,687874.0,1052106.0,95.9102499984036,0.0,993650.0,661618.0,993650.0,95.10336123200942,0.0,942306.0,661618.0,942306.0,98.98000518307416,3.816978109363052,687874.0,1065194.0,95.35702520084077,0.0,993650.0,661618.0,993650.0,95.10336123200942
