,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT1_MAKESPAN,PT1_C1,PT1_C2,PT2_MAKESPAN,PT2_C1,PT2_C2,PT3_MAKESPAN,PT3_C1,PT3_C2,PT6_MAKESPAN,PT6_C1,PT6_C2
64,1002640.0,868369.0,1002640.0,1034901.0,826108.0,1034901.0,1002640.0,868369.0,1002640.0,1002640.0,868369.0,1002640.0,1002640.0,868369.0,1002640.0,1002640.0,868369.0,1002640.0
65,900624.0,865794.0,900624.0,928676.0,804439.0,928676.0,900624.0,865794.0,900624.0,900624.0,865794.0,900624.0,900624.0,865794.0,900624.0,900624.0,865794.0,900624.0
66,951579.0,849924.0,951579.0,967393.0,796942.0,967393.0,951579.0,849924.0,951579.0,951579.0,849924.0,951579.0,951579.0,849924.0,951579.0,951579.0,849924.0,951579.0
67,963176.0,867942.0,963176.0,972757.0,824442.0,972757.0,963176.0,867942.0,963176.0,963176.0,867942.0,963176.0,963176.0,867942.0,963176.0,963176.0,867942.0,963176.0
68,980905.0,873613.0,980905.0,1149684.0,816822.0,1149684.0,980905.0,873613.0,980905.0,980905.0,873613.0,980905.0,980905.0,873613.0,980905.0,980905.0,873613.0,980905.0
69,916340.0,869412.0,916340.0,1043574.0,827681.0,1043574.0,916340.0,869412.0,916340.0,916340.0,869412.0,916340.0,916340.0,869412.0,916340.0,916340.0,869412.0,916340.0
70,953766.0,858904.0,953766.0,1103911.0,796816.0,1103911.0,953766.0,858904.0,953766.0,953766.0,858904.0,953766.0,953766.0,858904.0,953766.0,953766.0,858904.0,953766.0
71,957064.0,908303.0,957064.0,960836.0,840275.0,960836.0,957064.0,908303.0,957064.0,957064.0,908303.0,957064.0,957064.0,908303.0,957064.0,957064.0,908303.0,957064.0
72,962510.0,885839.0,962510.0,1001830.0,848375.0,1001830.0,962510.0,885839.0,962510.0,962510.0,885839.0,962510.0,962510.0,885839.0,962510.0,962510.0,885839.0,962510.0
73,951719.0,870506.0,951719.0,1030835.0,832375.0,1030835.0,951719.0,870506.0,951719.0,951719.0,870506.0,951719.0,951719.0,870506.0,951719.0,951719.0,870506.0,951719.0
74,1021758.0,925650.0,1021758.0,1028826.0,850852.0,1028826.0,1021758.0,925650.0,1021758.0,1021758.0,925650.0,1021758.0,1021758.0,925650.0,1021758.0,1021758.0,925650.0,1021758.0
75,960603.0,818930.0,960603.0,1062696.0,758037.0,1062696.0,960603.0,818930.0,960603.0,960603.0,818930.0,960603.0,960603.0,818930.0,960603.0,960603.0,818930.0,960603.0
76,926861.0,893283.0,926861.0,1003002.0,847571.0,1003002.0,926861.0,893283.0,926861.0,926861.0,893283.0,926861.0,926861.0,893283.0,926861.0,926861.0,893283.0,926861.0
77,935197.0,925712.0,935197.0,978769.0,865234.0,978769.0,935197.0,925712.0,935197.0,935197.0,925712.0,935197.0,935197.0,925712.0,935197.0,935197.0,925712.0,935197.0
78,947891.0,858571.0,947891.0,1050886.0,812979.0,1050886.0,947891.0,858571.0,947891.0,947891.0,858571.0,947891.0,947891.0,858571.0,947891.0,947891.0,858571.0,947891.0
79,965332.0,914262.0,965332.0,1214264.0,861769.0,1214264.0,965332.0,914262.0,965332.0,965332.0,914262.0,965332.0,965332.0,914262.0,965332.0,965332.0,914262.0,965332.0
80,1001701.0,773843.0,1001701.0,1156750.0,745914.0,1156750.0,1001701.0,773843.0,1001701.0,1001701.0,773843.0,1001701.0,1001701.0,773843.0,1001701.0,1001701.0,773843.0,1001701.0
81,946330.0,879513.0,946330.0,988043.0,807075.0,988043.0,946330.0,879513.0,946330.0,946330.0,879513.0,946330.0,946330.0,879513.0,946330.0,946330.0,879513.0,946330.0
82,925087.0,840114.0,925087.0,944357.0,796127.0,944357.0,925087.0,840114.0,925087.0,925087.0,840114.0,925087.0,925087.0,840114.0,925087.0,925087.0,840114.0,925087.0
83,961501.0,883339.0,961501.0,1174067.0,837755.0,1174067.0,961501.0,883339.0,961501.0,961501.0,883339.0,961501.0,961501.0,883339.0,961501.0,961501.0,883339.0,961501.0
84,980161.0,843479.0,980161.0,1002853.0,784964.0,1002853.0,980161.0,843479.0,980161.0,980161.0,843479.0,980161.0,980161.0,843479.0,980161.0,980161.0,843479.0,980161.0
85,893850.0,887700.0,893850.0,930396.0,824132.0,930396.0,893850.0,887700.0,893850.0,893850.0,887700.0,893850.0,893850.0,887700.0,893850.0,893850.0,887700.0,893850.0
86,945314.0,922445.0,945314.0,1008433.0,836819.0,1008433.0,945314.0,922445.0,945314.0,945314.0,922445.0,945314.0,945314.0,922445.0,945314.0,945314.0,922445.0,945314.0
87,917034.0,868423.0,917034.0,987868.0,803519.0,987868.0,917034.0,868423.0,917034.0,917034.0,868423.0,917034.0,917034.0,868423.0,917034.0,917034.0,868423.0,917034.0
88,953409.0,871769.0,953409.0,1007238.0,823746.0,1007238.0,953409.0,871769.0,953409.0,953409.0,871769.0,953409.0,953409.0,871769.0,953409.0,953409.0,871769.0,953409.0
89,999084.0,855205.0,999084.0,1009274.0,811762.0,1009274.0,999084.0,855205.0,999084.0,999084.0,855205.0,999084.0,999084.0,855205.0,999084.0,999084.0,855205.0,999084.0
90,942043.0,844215.0,942043.0,987980.0,807896.0,987980.0,942043.0,844215.0,942043.0,942043.0,844215.0,942043.0,942043.0,844215.0,942043.0,942043.0,844215.0,942043.0
91,952092.0,902434.0,952092.0,1050276.0,865333.0,1050276.0,952092.0,902434.0,952092.0,952092.0,902434.0,952092.0,952092.0,902434.0,952092.0,952092.0,902434.0,952092.0
92,921837.0,879481.0,921837.0,949348.0,809280.0,949348.0,921837.0,879481.0,921837.0,921837.0,879481.0,921837.0,921837.0,879481.0,921837.0,921837.0,879481.0,921837.0
93,985252.0,836536.0,985252.0,1190445.0,769977.0,1190445.0,985252.0,836536.0,985252.0,985252.0,836536.0,985252.0,985252.0,836536.0,985252.0,985252.0,836536.0,985252.0
94,953852.0,825834.0,953852.0,990603.0,779987.0,990603.0,953852.0,825834.0,953852.0,953852.0,825834.0,953852.0,953852.0,825834.0,953852.0,953852.0,825834.0,953852.0
95,955678.0,869416.0,955678.0,998561.0,800273.0,998561.0,955678.0,869416.0,955678.0,955678.0,869416.0,955678.0,955678.0,869416.0,955678.0,955678.0,869416.0,955678.0
96,986443.0,810837.0,986443.0,1194327.0,751468.0,1194327.0,986443.0,810837.0,986443.0,986443.0,810837.0,986443.0,986443.0,810837.0,986443.0,986443.0,810837.0,986443.0
97,966492.0,877221.0,966492.0,1153620.0,812515.0,1153620.0,966492.0,877221.0,966492.0,966492.0,877221.0,966492.0,966492.0,877221.0,966492.0,966492.0,877221.0,966492.0
98,947057.0,871894.0,947057.0,935544.0,855075.0,935544.0,947057.0,871894.0,947057.0,947057.0,871894.0,947057.0,947057.0,871894.0,947057.0,947057.0,871894.0,947057.0
99,1007731.0,917179.0,1007731.0,1270630.0,867846.0,1270630.0,1007731.0,917179.0,1007731.0,1007731.0,917179.0,1007731.0,1007731.0,917179.0,1007731.0,1007731.0,917179.0,1007731.0
