,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT_MAKESPAN,PT_C1,PT_C2,jitter
1000,1224301.0,869411.0,1224301.0,1245353.0,727612.0,1245353.0,1266756.0,735629.0,1266756.0,0.1
1001,1258317.0,811405.0,1258317.0,1253445.0,699958.0,1253445.0,1257869.0,727546.0,1257869.0,0.3
1002,1214761.0,886646.0,1214761.0,1290696.0,745561.0,1290696.0,1224825.0,779182.0,1224825.0,0.3
1003,1240896.0,735855.0,1240896.0,1336156.0,707787.0,1336156.0,1245139.0,739810.0,1245139.0,0.3
1004,1205957.0,852941.0,1205957.0,1265662.0,740800.0,1265662.0,1215958.0,774883.0,1215958.0,0.3
1005,1255534.0,809221.0,1255534.0,1295583.0,734620.0,1295583.0,1330186.0,749982.0,1330186.0,0.3
1006,1261695.0,871420.0,1261695.0,1246136.0,723218.0,1246136.0,1242537.0,775783.0,1242537.0,0.3
1007,1244442.0,778801.0,1244442.0,1289474.0,699759.0,1289474.0,1239618.0,723702.0,1239618.0,0.3
1008,1243075.0,894478.0,1243075.0,1265372.0,723923.0,1265372.0,1303849.0,779040.0,1303849.0,0.3
1009,1213214.0,734177.0,1213214.0,1199365.0,688422.0,1199365.0,1207176.0,743988.0,1207176.0,0.3
1010,1254858.0,871193.0,1254858.0,1271783.0,755001.0,1271783.0,1263772.0,764160.0,1263772.0,0.3
1011,1267044.0,827512.0,1267044.0,1265390.0,751711.0,1265390.0,1254295.0,754318.0,1254295.0,0.3
1012,1274068.0,782936.0,1274068.0,1237881.0,736579.0,1237881.0,1273060.0,757104.0,1273060.0,0.3
1013,1226571.0,756644.0,1226571.0,1226308.0,702904.0,1226308.0,1250364.0,748442.0,1250364.0,0.3
1014,1217862.0,858575.0,1217862.0,1207405.0,730996.0,1207405.0,1227719.0,756086.0,1227719.0,0.3
1015,1245108.0,785613.0,1245108.0,1304370.0,720796.0,1304370.0,1284750.0,739189.0,1284750.0,0.3
1016,1255454.0,756302.0,1255454.0,1247955.0,739345.0,1247955.0,1256702.0,776553.0,1256702.0,0.3
1017,1192685.0,872455.0,1192685.0,1216208.0,727550.0,1216208.0,1203524.0,749955.0,1203524.0,0.3
1018,1236039.0,849513.0,1236039.0,1334863.0,732396.0,1334863.0,1239671.0,752437.0,1239671.0,0.3
1019,1200766.0,860669.0,1200766.0,1227864.0,708177.0,1227864.0,1246153.0,742238.0,1246153.0,0.3
1020,1257868.0,752652.0,1257868.0,1270651.0,698087.0,1270651.0,1238811.0,717478.0,1238811.0,0.3
1021,1227488.0,741562.0,1227488.0,1189356.0,722521.0,1189356.0,1204998.0,743253.0,1204998.0,0.3
1022,1247617.0,807040.0,1247617.0,1241432.0,730362.0,1241432.0,1252895.0,749059.0,1252895.0,0.3
1023,1288385.0,803015.0,1288385.0,1217091.0,724577.0,1217091.0,1249459.0,765486.0,1249459.0,0.3
1024,1222449.0,890411.0,1222449.0,1234770.0,706498.0,1234770.0,1236619.0,719135.0,1236619.0,0.3
1025,1263022.0,749557.0,1263022.0,1278997.0,703923.0,1278997.0,1216227.0,723732.0,1216227.0,0.3
1026,1221497.0,838172.0,1221497.0,1220754.0,702109.0,1220754.0,1273438.0,729090.0,1273438.0,0.3
1027,1264442.0,808412.0,1264442.0,1255803.0,733341.0,1255803.0,1248603.0,759622.0,1248603.0,0.3
1028,1277949.0,880210.0,1277949.0,1208632.0,687924.0,1208632.0,1320121.0,723079.0,1320121.0,0.3
1029,1246059.0,756259.0,1246059.0,1272362.0,725971.0,1272362.0,1229499.0,755175.0,1229499.0,0.3
1030,1285766.0,827589.0,1285766.0,1258064.0,737495.0,1258064.0,1289589.0,769340.0,1289589.0,0.3
1031,1237132.0,703651.0,1237132.0,1229390.0,693309.0,1229390.0,1232315.0,703651.0,1232315.0,0.3
1032,1123424.0,880031.0,1123424.0,1194429.0,723860.0,1194429.0,1208837.0,774229.0,1208837.0,0.3
1033,1235027.0,904546.0,1235027.0,1226450.0,709752.0,1226450.0,1308449.0,738550.0,1308449.0,0.3
1034,1304185.0,817048.0,1304185.0,1285156.0,711793.0,1285156.0,1283723.0,736968.0,1283723.0,0.3
1035,1216183.0,890127.0,1216183.0,1237001.0,722980.0,1237001.0,1266738.0,736981.0,1266738.0,0.3
1036,1223451.0,754936.0,1223451.0,1252519.0,714485.0,1252519.0,1328226.0,758522.0,1328226.0,0.3
1037,1271463.0,853764.0,1271463.0,1277365.0,737285.0,1277365.0,1258873.0,770912.0,1258873.0,0.3
