,improve,makespan1,makespan2,makespan3,number_of_edges,number_of_nodes,priotime,type1,type2,type3,,
85,98.34405416,1299,1299,1299,248,152,0.479665995,0.673540115,0.706950426,0.01115346,TRUE,TRUE
86,98.22350952,1281,1281,1281,247,152,0.475345135,0.704039812,0.701020956,0.0125072,TRUE,TRUE
87,98.24420542,1233,1233,1233,223,152,0.473954678,0.683564663,0.62798214,0.012001991,TRUE,TRUE
88,98.32235632,1262,1262,1262,224,152,0.576426506,0.73000288,0.610999584,0.012246847,TRUE,TRUE
89,85.52483015,1260,1260,1260,236,152,0.478058577,0.749832869,0.524354458,0.108539581,TRUE,TRUE
90,98.26617031,1442,1442,1442,466,152,0.530708551,0.749964714,0.759896994,0.013003111,TRUE,TRUE
91,98.4834065,1289,1289,1289,426,152,0.533324718,0.838728905,0.671963215,0.012720108,TRUE,TRUE
92,98.40623854,1290,1290,1290,449,152,0.65778327,0.753150463,0.695838928,0.012003422,TRUE,TRUE
93,98.29882829,1269,1269,1269,427,152,0.51353693,0.76434803,0.759351254,0.013002872,TRUE,TRUE
94,98.28733024,1273,1273,1273,443,152,0.523438931,0.759286165,0.736259699,0.013004065,TRUE,TRUE
95,97.57023318,1292,1292,1292,467,152,0.654785872,0.57632184,0.856710672,0.014003277,TRUE,TRUE
96,98.30544171,1285,1285,1285,492,152,0.533661842,0.826395512,0.682374239,0.014003754,TRUE,TRUE
97,98.27415019,1264,1264,1264,499,152,0.665467501,0.753515244,0.678399086,0.013004541,TRUE,TRUE
98,98.52913749,1333,1333,1333,724,152,0.582710981,0.888455629,0.739621878,0.013067961,TRUE,TRUE
99,98.58071043,1270,1270,1270,692,152,0.572556019,0.916237593,0.728575706,0.013004065,TRUE,TRUE
100,97.85477159,1289,1289,1289,594,152,0.668924093,0.608941793,0.869124174,0.013063192,TRUE,TRUE
101,98.56928666,1283,1283,1283,715,152,0.574115276,0.926269293,0.743128777,0.013252258,TRUE,TRUE
102,98.44596356,1258,1258,1258,2321,152,1.113506794,1.190975666,1.128810644,0.018508196,TRUE,TRUE
103,97.81736059,1300,1300,1300,1691,152,0.981039524,0.845307827,1.226563215,0.018450022,TRUE,TRUE
104,97.9160707,1293,1293,1293,1483,152,0.91713953,0.815947771,1.164322853,0.017003775,TRUE,TRUE
105,98.01135627,1296,1296,1296,2146,152,1.06775856,0.955667496,1.279156685,0.019004822,TRUE,TRUE
106,98.13937825,1296,1296,1296,2171,152,1.09741044,0.994706154,1.469344854,0.018507719,TRUE,TRUE
107,98.06020228,1267,1267,1267,1892,152,1.001043797,0.902582169,1.255196571,0.017508268,TRUE,TRUE
108,97.9225916,6606,6606,6606,201,202,1.057664156,1.071387291,1.10398221,0.02225709,TRUE,TRUE
109,98.02199063,4531,4531,4531,253,202,0.960392237,1.188567638,1.12982893,0.023509979,TRUE,TRUE
110,98.10527735,2893,2893,2893,263,202,1.023369789,1.117723942,1.067449093,0.021177769,TRUE,TRUE
111,97.95125078,6707,6707,6707,201,202,0.965876341,1.176109552,1.040844202,0.024095535,TRUE,TRUE
112,97.94065156,4516,4516,4516,247,202,0.978215694,1.117089748,1.039961576,0.02300477,TRUE,TRUE
113,97.47745439,2882,2882,2882,265,202,1.106315613,0.915340662,1.248394966,0.023089886,TRUE,TRUE
114,97.46541425,6764,6764,6764,201,202,1.079007626,0.907690763,1.22671175,0.023006201,TRUE,TRUE
115,90.0816922,4665,4665,4665,254,202,0.970580816,1.17901516,1.050363064,0.116938353,TRUE,TRUE
116,98.0313009,2920,2920,2920,263,202,0.991386414,1.117747307,1.055808306,0.022005081,TRUE,TRUE
117,97.76902133,6496,6496,6496,201,202,0.977442503,1.099578619,1.085386753,0.024531364,TRUE,TRUE
118,97.97897211,4607,4607,4607,248,202,0.964406252,1.206362486,1.048702478,0.024380922,TRUE,TRUE
119,97.84142649,2705,2705,2705,262,202,0.974569082,1.112151384,1.042960644,0.024006605,TRUE,TRUE
120,98.49000869,1640,1640,1640,332,202,1.099442482,1.126100063,1.057235718,0.017004013,TRUE,TRUE
121,98.53939438,1672,1672,1672,332,202,1.002711058,1.23273325,1.160375357,0.018005371,TRUE,TRUE
122,98.50101189,1627,1627,1627,341,202,1.009361029,1.13438201,1.149927378,0.017004251,TRUE,TRUE
123,98.26968912,1685,1685,1685,313,202,0.982001543,1.107951164,1.155429125,0.019171,TRUE,TRUE
124,98.35441629,1712,1712,1712,318,202,0.980087757,1.124733686,1.131045341,0.018508434,TRUE,TRUE
125,98.47365677,1709,1709,1709,324,202,0.985375404,1.179516077,1.058446407,0.018003464,TRUE,TRUE
126,98.4294014,1705,1705,1705,710,202,1.162248373,1.273671865,1.19521594,0.020004272,TRUE,TRUE
127,98.62992779,1706,1706,1706,703,202,1.277481556,1.284869194,1.193772793,0.017603636,TRUE,TRUE
128,98.40430888,1620,1620,1620,776,202,1.334720135,1.316456795,1.246910095,0.021006584,TRUE,TRUE
129,98.54397478,1723,1723,1723,736,202,1.294917822,1.308757782,1.214997292,0.019055843,TRUE,TRUE
130,98.66297014,1722,1722,1722,648,202,1.144080162,1.346633673,1.189562321,0.018004894,TRUE,TRUE
131,98.58972424,1669,1669,1669,754,202,1.197228432,1.347579241,1.226567745,0.019004583,TRUE,TRUE
132,98.66225259,1649,1649,1649,849,202,1.168796062,1.472111702,1.250363111,0.019693136,TRUE,TRUE
133,98.57057151,1726,1726,1726,1294,202,1.353522778,1.484290361,1.374380112,0.021216869,TRUE,TRUE
134,98.50027421,1699,1699,1699,1020,202,1.486308575,1.374639034,1.313737392,0.020615816,TRUE,TRUE
135,98.34285216,1669,1669,1669,1169,202,1.307545424,1.448554993,1.33664465,0.024004698,TRUE,TRUE
136,98.64628128,1721,1721,1721,1021,202,1.221726418,1.483979702,1.449759722,0.020088911,TRUE,TRUE
137,98.62189609,1691,1691,1691,1102,202,1.300291538,1.423967838,1.44482398,0.019623756,TRUE,TRUE
