,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT_MAKESPAN,PT_C1,PT_C2
610,1152091.0,752686.0,1152091.0,1330324.0,750587.0,1330324.0,1318090.0,763490.0,1318090.0
611,1148013.0,773424.0,1148013.0,1148836.0,759382.0,1148836.0,1141551.0,760187.0,1141551.0
612,1119104.0,767118.0,1119104.0,1162309.0,762061.0,1162309.0,1147202.0,778030.0,1147202.0
613,1092909.0,738629.0,1092909.0,1149359.0,740426.0,1149359.0,1141499.0,738397.0,1141499.0
614,1121682.0,721436.0,1121682.0,1169364.0,720251.0,1169364.0,1127783.0,724393.0,1127783.0
615,1102098.0,755246.0,1102098.0,1188009.0,758004.0,1188009.0,1105831.0,755173.0,1105831.0
616,1151726.0,764316.0,1151726.0,1159171.0,765306.0,1159171.0,1154035.0,763340.0,1154035.0
617,1149011.0,737406.0,1149011.0,1191304.0,736269.0,1191304.0,1152946.0,735921.0,1152946.0
618,1119387.0,756781.0,1119387.0,1151413.0,754700.0,1151413.0,1130527.0,760070.0,1130527.0
619,1162372.0,718814.0,1162372.0,1204891.0,717445.0,1204891.0,1163219.0,720218.0,1163219.0
620,1145477.0,760960.0,1145477.0,1286465.0,757515.0,1286465.0,1144087.0,774364.0,1144087.0
621,1108004.0,744323.0,1108004.0,1226844.0,758074.0,1226844.0,1113846.0,742309.0,1113846.0
622,1148595.0,763218.0,1148595.0,1226767.0,730002.0,1226767.0,1157066.0,758581.0,1157066.0
623,1121245.0,715761.0,1121245.0,1170742.0,719024.0,1170742.0,1213940.0,721754.0,1213940.0
624,1140250.0,777112.0,1140250.0,1145719.0,769377.0,1145719.0,1134917.0,770312.0,1134917.0
625,1152226.0,716725.0,1152226.0,1305840.0,716327.0,1305840.0,1158860.0,715529.0,1158860.0
626,1157967.0,782377.0,1157967.0,1299581.0,753588.0,1299581.0,1213097.0,782691.0,1213097.0
627,1170546.0,773993.0,1170546.0,1238159.0,766155.0,1238159.0,1176161.0,772165.0,1176161.0
628,1150178.0,723990.0,1150178.0,1176970.0,719705.0,1176970.0,1141008.0,722269.0,1141008.0
629,1162721.0,754612.0,1162721.0,1194919.0,742902.0,1194919.0,1152866.0,757722.0,1152866.0
630,1135983.0,734970.0,1135983.0,1237346.0,726969.0,1237346.0,1135393.0,731268.0,1135393.0
631,1170926.0,769332.0,1170926.0,1323692.0,764614.0,1323692.0,1171215.0,773746.0,1171215.0
632,1181204.0,735366.0,1181204.0,1304735.0,735282.0,1304735.0,1182690.0,734849.0,1182690.0
633,1149220.0,769534.0,1149220.0,1317493.0,772125.0,1317493.0,1147555.0,769534.0,1147555.0
634,1127913.0,779908.0,1127913.0,1289904.0,774071.0,1289904.0,1127448.0,779908.0,1127448.0
635,1160112.0,730768.0,1160112.0,1177113.0,720310.0,1177113.0,1167328.0,724594.0,1167328.0
636,1186638.0,767589.0,1186638.0,1226557.0,763788.0,1226557.0,1199338.0,766999.0,1199338.0
637,1103787.0,741559.0,1103787.0,1128579.0,725599.0,1128579.0,1148592.0,741373.0,1148592.0
638,1170274.0,804873.0,1170274.0,1230525.0,797420.0,1230525.0,1193010.0,797683.0,1193010.0
639,1154321.0,751874.0,1154321.0,1331773.0,753138.0,1331773.0,1349858.0,754019.0,1349858.0
640,1094706.0,768742.0,1094706.0,1193257.0,765105.0,1193257.0,1260258.0,769863.0,1260258.0
641,1179083.0,782188.0,1179083.0,1187262.0,780546.0,1187262.0,1193584.0,778686.0,1193584.0
642,1151311.0,811560.0,1151311.0,1158864.0,800419.0,1158864.0,1145658.0,811600.0,1145658.0
643,1134673.0,772816.0,1134673.0,1236301.0,767287.0,1236301.0,1131926.0,769734.0,1131926.0
644,1149240.0,750130.0,1149240.0,1154264.0,741562.0,1154264.0,1151169.0,747411.0,1151169.0
645,1174484.0,790082.0,1174484.0,1311451.0,790628.0,1311451.0,1169979.0,784238.0,1169979.0
646,1087395.0,727987.0,1087395.0,1317972.0,715236.0,1317972.0,1099756.0,719106.0,1099756.0
647,1108489.0,768800.0,1108489.0,1239224.0,764318.0,1239224.0,1110380.0,764452.0,1110380.0
648,1133765.0,793168.0,1133765.0,1293754.0,787249.0,1293754.0,1143639.0,798761.0,1143639.0
649,1132503.0,767895.0,1132503.0,1215572.0,760964.0,1215572.0,1125218.0,762050.0,1125218.0
650,1115405.0,752114.0,1115405.0,1226860.0,748360.0,1226860.0,1116794.0,748755.0,1116794.0
651,1142845.0,738200.0,1142845.0,1291148.0,734139.0,1291148.0,1202445.0,745903.0,1202445.0
652,1154779.0,772232.0,1154779.0,1298906.0,768515.0,1298906.0,1142307.0,772267.0,1142307.0
653,1151498.0,720919.0,1151498.0,1233618.0,715787.0,1233618.0,1163240.0,721450.0,1163240.0
654,1115387.0,735710.0,1115387.0,1147051.0,736606.0,1147051.0,1150291.0,737658.0,1150291.0
655,1160473.0,785451.0,1160473.0,1186861.0,786321.0,1186861.0,1164930.0,789009.0,1164930.0
656,1136890.0,759742.0,1136890.0,1159316.0,756001.0,1159316.0,1150217.0,762853.0,1150217.0
657,1141656.0,764069.0,1141656.0,1333061.0,765101.0,1333061.0,1194628.0,764069.0,1194628.0
658,1147871.0,748689.0,1147871.0,1367808.0,743980.0,1367808.0,1153197.0,737839.0,1153197.0
659,1138448.0,732625.0,1138448.0,1256140.0,725390.0,1256140.0,1201437.0,733870.0,1201437.0
660,1142905.0,784256.0,1142905.0,1180847.0,776589.0,1180847.0,1147438.0,775690.0,1147438.0
661,1156788.0,760639.0,1156788.0,1240553.0,761026.0,1240553.0,1142979.0,759010.0,1142979.0
662,1124362.0,772392.0,1124362.0,1164237.0,763580.0,1164237.0,1121924.0,770611.0,1121924.0
663,1119768.0,701855.0,1119768.0,1215315.0,714129.0,1215315.0,1112685.0,703684.0,1112685.0
664,1108287.0,770403.0,1108287.0,1138940.0,770103.0,1138940.0,1126034.0,772500.0,1126034.0
665,1125562.0,788738.0,1125562.0,1247827.0,787847.0,1247827.0,1240856.0,791134.0,1240856.0
666,1161846.0,751859.0,1161846.0,1223028.0,757452.0,1223028.0,1185451.0,755772.0,1185451.0
667,1103233.0,717449.0,1103233.0,1217946.0,726581.0,1217946.0,1103397.0,719666.0,1103397.0
668,1131374.0,745953.0,1131374.0,1366073.0,743616.0,1366073.0,1263512.0,744430.0,1263512.0
669,1126053.0,747524.0,1126053.0,1225600.0,746249.0,1225600.0,1155449.0,754283.0,1155449.0
670,1187898.0,771410.0,1187898.0,1219280.0,758221.0,1219280.0,1183327.0,774015.0,1183327.0
671,1214908.0,753460.0,1214908.0,1351961.0,770583.0,1351961.0,1215404.0,746041.0,1215404.0
672,1131795.0,785681.0,1131795.0,1260479.0,774622.0,1260479.0,1133902.0,776484.0,1133902.0
673,1126617.0,788087.0,1126617.0,1235007.0,774889.0,1235007.0,1154723.0,773510.0,1154723.0
674,1189243.0,767691.0,1189243.0,1195965.0,761970.0,1195965.0,1189855.0,764219.0,1189855.0
675,1154692.0,732228.0,1154692.0,1320970.0,733254.0,1320970.0,1154970.0,733166.0,1154970.0
676,1112462.0,751760.0,1112462.0,1129514.0,762012.0,1129514.0,1122518.0,751760.0,1122518.0
677,1137368.0,692690.0,1137368.0,1260565.0,694003.0,1260565.0,1148974.0,693565.0,1148974.0
678,1140248.0,757081.0,1140248.0,1194653.0,754450.0,1194653.0,1137939.0,762893.0,1137939.0
679,1190259.0,745674.0,1190259.0,1288258.0,741459.0,1288258.0,1202460.0,745548.0,1202460.0
680,1094167.0,751655.0,1094167.0,1144349.0,745581.0,1144349.0,1089977.0,759615.0,1089977.0
681,1134498.0,727534.0,1134498.0,1140716.0,693435.0,1140716.0,1127423.0,720900.0,1127423.0
682,1167921.0,749711.0,1167921.0,1302433.0,748252.0,1302433.0,1178758.0,748821.0,1178758.0
683,1144741.0,753477.0,1144741.0,1227959.0,750379.0,1227959.0,1253672.0,751242.0,1253672.0
684,1097811.0,774045.0,1097811.0,1116550.0,769109.0,1116550.0,1135788.0,775559.0,1135788.0
685,1164681.0,737520.0,1164681.0,1297713.0,731873.0,1297713.0,1183389.0,737154.0,1183389.0
686,1108211.0,727744.0,1108211.0,1258453.0,728913.0,1258453.0,1120500.0,728824.0,1120500.0
687,1129037.0,773548.0,1129037.0,1273590.0,756347.0,1273590.0,1146681.0,771994.0,1146681.0
688,1176986.0,748087.0,1176986.0,1176139.0,772081.0,1176139.0,1201034.0,769989.0,1201034.0
