,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,SPT_MAKESPAN,SPT_C1,SPT_C2
135,1161979.0,782127.0,1161979.0,1293047.0,776241.0,1293047.0,1309343.0,784851.0,1309343.0
136,1170202.0,734885.0,1170202.0,1218370.0,736704.0,1218370.0,1256546.0,729803.0,1256546.0
137,1140185.0,725665.0,1140185.0,1161527.0,721004.0,1161527.0,1323982.0,730207.0,1323982.0
138,1137132.0,759217.0,1137132.0,1160701.0,756137.0,1160701.0,1236354.0,758266.0,1236354.0
139,1169868.0,727901.0,1169868.0,1273705.0,726559.0,1273705.0,1301995.0,727901.0,1301995.0
140,1145911.0,739810.0,1145911.0,1355587.0,737983.0,1355587.0,1293408.0,742640.0,1293408.0
141,1140249.0,759048.0,1140249.0,1231962.0,751900.0,1231962.0,1220440.0,754331.0,1220440.0
142,1167012.0,732321.0,1167012.0,1210043.0,731937.0,1210043.0,1234555.0,739210.0,1234555.0
143,1158459.0,759282.0,1158459.0,1275939.0,765186.0,1275939.0,1344582.0,763594.0,1344582.0
144,1184736.0,775146.0,1184736.0,1425046.0,765067.0,1425046.0,1308024.0,775852.0,1308024.0
145,1146992.0,711084.0,1146992.0,1264780.0,716723.0,1264780.0,1311483.0,706851.0,1311483.0
146,1141887.0,710891.0,1141887.0,1236723.0,714319.0,1236723.0,1292486.0,713030.0,1292486.0
147,1149306.0,769922.0,1149306.0,1262415.0,735613.0,1262415.0,1282427.0,772200.0,1282427.0
148,1102138.0,694661.0,1102138.0,1250268.0,695232.0,1250268.0,1164896.0,696282.0,1164896.0
149,1205637.0,775605.0,1205637.0,1302781.0,773535.0,1302781.0,1223963.0,775278.0,1223963.0
150,1160974.0,744878.0,1160974.0,1285104.0,743328.0,1285104.0,1271667.0,746292.0,1271667.0
151,1135665.0,773228.0,1135665.0,1157670.0,776795.0,1157670.0,1302992.0,782469.0,1302992.0
152,1107182.0,694897.0,1107182.0,1198878.0,695254.0,1198878.0,1253173.0,694710.0,1253173.0
153,1159827.0,753175.0,1159827.0,1168750.0,750523.0,1168750.0,1318784.0,755336.0,1318784.0
154,1127417.0,755424.0,1127417.0,1293602.0,741475.0,1293602.0,1328729.0,740272.0,1328729.0
155,1160555.0,788496.0,1160555.0,1169292.0,787363.0,1169292.0,1213566.0,789517.0,1213566.0
156,1127078.0,748509.0,1127078.0,1286874.0,745322.0,1286874.0,1128569.0,745904.0,1128569.0
157,1143715.0,761622.0,1143715.0,1226599.0,751984.0,1226599.0,1303212.0,755093.0,1303212.0
158,1148879.0,766843.0,1148879.0,1162792.0,755291.0,1162792.0,1170782.0,762235.0,1170782.0
159,1162747.0,777813.0,1162747.0,1188808.0,776283.0,1188808.0,1272962.0,773952.0,1272962.0
160,1123014.0,775494.0,1123014.0,1209717.0,771366.0,1209717.0,1156926.0,771236.0,1156926.0
161,1103723.0,751231.0,1103723.0,1127097.0,749852.0,1127097.0,1184488.0,752632.0,1184488.0
162,1158432.0,766155.0,1158432.0,1187163.0,761001.0,1187163.0,1187561.0,761340.0,1187561.0
163,1116372.0,803145.0,1116372.0,1240931.0,797693.0,1240931.0,1241819.0,798044.0,1241819.0
164,1164355.0,755427.0,1164355.0,1327642.0,730546.0,1327642.0,1361002.0,752550.0,1361002.0
165,1134687.0,731414.0,1134687.0,1263331.0,735181.0,1263331.0,1384252.0,726433.0,1384252.0
166,1141458.0,749060.0,1141458.0,1147657.0,754722.0,1147657.0,1267587.0,752767.0,1267587.0
167,1153189.0,764498.0,1153189.0,1351417.0,773614.0,1351417.0,1363803.0,764498.0,1363803.0
168,1134245.0,740099.0,1134245.0,1147567.0,726463.0,1147567.0,1348927.0,731839.0,1348927.0
169,1136289.0,749415.0,1136289.0,1261774.0,745015.0,1261774.0,1267672.0,744764.0,1267672.0
170,1137203.0,747127.0,1137203.0,1242531.0,737027.0,1242531.0,1230722.0,744339.0,1230722.0
171,1138515.0,788594.0,1138515.0,1275480.0,783870.0,1275480.0,1272634.0,787540.0,1272634.0
172,1128831.0,740502.0,1128831.0,1159298.0,734923.0,1159298.0,1278322.0,735046.0,1278322.0
