,jiter_rate,dag_count,core_num,dag_set_id,fifo,self_s,self_d,self_opt,self_s_impro,self_d_impro,self_opt_impro,S_D_impro,S_opt_impro
9957,0.5,6.0,5.0,56.0,879894.9046437137,1033112.522395837,1012380.4077819863,810985.9046437137,-17.413172521343785,-15.05696901289802,7.831503471190412,2.0067624933799038,21.500718744266223
9958,0.5,6.0,5.0,57.0,1160181.2516202477,835291.2516202477,1087288.1787666543,752072.9122723519,28.003383052973476,6.282903878320287,35.176257052762516,-30.16874972144125,9.962793119941564
9959,0.5,6.0,5.0,58.0,703632.2899626376,687425.9022313493,677172.2899626376,667104.9022313491,2.303246733055539,3.760486887462912,5.191260869115035,1.491595273822091,2.9561004224657803
9960,0.5,6.0,5.0,59.0,684730.1762703185,728319.1762703185,731593.1762703185,655919.1531396902,-6.365865199256516,-6.844009746329535,4.207646183721606,-0.44952818855683163,9.940699831821638
9961,0.5,6.0,5.0,60.0,903541.3737160554,903704.8229956238,895753.8229956238,849379.3737160554,-0.01808985004152738,0.8618919893400371,5.994412826636183,0.8798226807779804,6.011415220678916
9962,0.5,6.0,5.0,61.0,776324.5403632842,718682.7097696045,590014.7097696045,580393.7097696045,7.42496566792877,23.99896189118217,25.238263175603475,17.903310911883274,19.24201015554315
9963,0.5,6.0,5.0,62.0,880534.3246456606,748721.2135223675,781141.7380426782,718991.7380426782,14.969673235207102,11.287758332757708,18.345972676078173,-4.330119667344266,3.970700301094269
9964,0.5,6.0,5.0,63.0,1241049.9278315064,1132298.6408038728,1304439.6408038728,913331.6408038728,8.762845441492855,-5.107748814193776,26.406535279386993,-15.202791365870482,19.338272793875728
9965,0.5,6.0,5.0,64.0,1191238.8979531832,986190.8979531832,1035200.8979531832,825860.8979531832,17.213004070998576,13.098799935773458,30.67210117364382,-4.969626073584652,16.25750149720113
9966,0.5,6.0,5.0,65.0,669867.7846308755,595904.7846308755,634524.2135133577,543394.2135133577,11.041432607593846,5.276201054659395,18.8803781909306,-6.480805302881478,8.811906276276114
9967,0.5,6.0,5.0,66.0,694737.1602349312,696489.1239990834,692621.1239990834,652298.1239990834,-0.25217648694073247,0.30458083386991824,6.108646357925727,0.5553568414379275,6.344822693894378
9968,0.5,6.0,5.0,67.0,708017.8116743367,737927.8116743367,687675.8505586506,648718.8116743367,-4.224469993102031,2.873086069343506,8.375354266832408,6.809874939076477,12.089122890975933
9969,0.5,6.0,5.0,68.0,882921.206890993,870538.206890993,839323.662449081,813359.662449081,1.4025034061197748,4.937874875090039,7.878567634235144,3.585660479324684,6.568183221517337
9970,0.5,6.0,5.0,69.0,844534.5395121477,880345.2296114811,792305.5395121477,660803.2561131734,-4.240287214306209,6.184353339790047,21.755330871974536,10.000586944531703,24.938168131517806
9971,0.5,6.0,5.0,70.0,753529.7062600075,860240.7062600075,729116.7071388495,715662.1525848921,-14.161485488029198,3.2398190699510585,5.025356447201438,15.242710344553927,16.806755670013192
9972,0.5,6.0,5.0,71.0,761285.8474385501,737508.8480101896,737508.8480101896,737508.8480101896,3.123268284621531,3.123268284621531,3.123268284621531,0.0,0.0
9973,0.5,6.0,5.0,72.0,634570.1237507567,672279.1237507567,651679.1237507567,618828.1237507567,-5.942448058713075,-2.696155926609616,2.4807345021151774,3.064203434589666,7.950715426322924
9974,0.5,6.0,5.0,73.0,788173.2528924433,697933.2528924433,766902.2367348946,653224.2528924433,11.449259368906095,2.6987741691929084,17.121743157962197,-9.881888211605224,6.405913432941128
9975,0.5,6.0,5.0,74.0,772662.4125694339,761605.4125694339,790492.4125694339,733798.6184559118,1.4310259979168305,-2.3076054574348457,5.029854368647671,-3.7929089687721245,3.6510762206521314
9976,0.5,6.0,5.0,75.0,1149721.91610007,1066731.1379809687,1089855.91610007,836666.9161000701,7.218334882282789,5.206998245547,27.228758155876726,-2.1678169217850267,21.567217238670604
9977,0.5,6.0,5.0,76.0,1071144.9944590274,713129.7340783031,1067116.734078303,683313.7340783031,33.423603922225006,0.37607050413925364,36.20716731973295,-49.638513594937464,4.181006424944012
9978,0.5,6.0,5.0,77.0,1145644.1258009225,929449.1258009225,1151242.1258009225,810109.3572386617,18.87104338346409,-0.4886334136341357,29.287870552968414,-23.862844543414585,12.839838701168677
9979,0.5,6.0,5.0,78.0,1057744.113789662,869312.113789662,976770.2996500087,812623.113789662,17.81451653036291,7.655331103620343,23.17394129680249,-12.361289363827632,6.521133100615738
9980,0.5,6.0,5.0,79.0,684231.1150591441,661588.9604728385,661588.9604728385,623471.9604728385,3.309138401919715,3.309138401919715,8.879916924130768,0.0,5.761432290641266
9981,0.5,6.0,5.0,80.0,898654.9681619783,837568.9681619783,846845.8519708398,835676.9681619783,6.797492048025882,5.765184417452658,7.0080289133446945,-1.1075964083554037,0.2258918455577385
9982,0.5,6.0,5.0,81.0,650818.289273211,659886.289273211,659886.289273211,633325.289273211,-1.3933228597688176,-1.3933228597688176,2.687847020945735,0.0,4.025087417599461
9983,0.5,6.0,5.0,82.0,968323.563458136,872452.5806126458,866731.5951261602,832650.563458136,9.900717741816582,10.491531154025049,14.011122430551657,0.6557359807988999,4.5620837211072685
9984,0.5,6.0,5.0,83.0,809337.4499111727,834373.7445121276,836925.1926648663,784177.2574882875,-3.093430880246882,-3.408682343405886,3.1087394294736543,-0.30579199903163473,6.016067422302558
9985,0.5,6.0,5.0,84.0,1346972.8441002418,1077692.8441002418,1374619.8441002418,974612.8441002418,19.99149434819342,-2.052528387717259,27.644209876312026,-27.552099062873733,9.564877466182006
9986,0.5,6.0,5.0,85.0,672107.4812992138,706674.4812992138,729958.4812992138,671605.4812992138,-5.1430762135217485,-8.607403073117327,0.07469043478427163,-3.2948692242562094,4.962539461666424
9987,0.5,6.0,5.0,86.0,950592.5935584867,1017324.5935584867,936492.5935584867,749289.5174616853,-7.020042071881997,1.483285278629985,21.176587894845177,7.945546633966528,26.34705558028877
9988,0.5,6.0,5.0,87.0,914132.4076168234,728856.7380697568,776015.6828697048,672880.7380697568,20.267924865511237,15.109050242206596,26.391326632431575,-6.470262582032214,7.679972904996688
9989,0.5,6.0,5.0,88.0,1034004.1133320179,951650.8896700728,1027256.971378749,816230.971378749,7.964496717190673,0.6525256395283218,21.06114851434272,-7.944728737119975,14.229999652317087
9990,0.5,6.0,5.0,89.0,995564.7437999981,885508.0077168016,960009.5870781274,758843.7437999981,11.054704053009946,3.5713555490283038,23.777559568497093,-8.413428078806547,14.304135345246094
9991,0.5,6.0,5.0,90.0,858244.7403799838,756798.0608344115,792293.7403799838,747651.0608344115,11.820250654918924,7.6844047970280025,12.88603056240198,-4.6902445160121475,1.208644745986126
9992,0.5,6.0,5.0,91.0,814947.137345342,892616.137345342,848239.137345342,756275.137345342,-9.530556822741127,-4.085172948572759,7.1994853790298245,4.971565955773338,15.274314937379557
9993,0.5,6.0,5.0,92.0,760682.7426914559,779698.7426914559,718202.9391901777,689779.9391901777,-2.499859525236156,5.584431079766009,9.320942821761554,7.887123594556496,11.532505899764036
