,LP1_c1_surpass_rade,LP1_makespan,LP1_makespan_c1,LP1_makespan_c2,LP1_workload_rade,LP2_c1_surpass_rade,LP2_makespan,LP2_makespan_c1,LP2_makespan_c2,LP2_workload_rade,LP3_c1_surpass_rade,LP3_makespan,LP3_makespan_c1,LP3_makespan_c2,LP3_workload_rade,LP4_c1_surpass_rade,LP4_makespan,LP4_makespan_c1,LP4_makespan_c2,LP4_workload_rade,NP_c1_surpass_rade,NP_makespan_c1,NP_makespan_c2,NP_workload_rade,P_c1_surpass_rade,P_makespan,P_makespan_c1,P_makespan_c2,P_workload_rade
new_29,0.0,895126.0,574402.0,895126.0,97.81163168578814,0.0,892662.0,574402.0,892662.0,97.6867769770956,0.0,892662.0,574402.0,892662.0,97.6867769770956,0.0,892662.0,574402.0,892662.0,99.41163202377804,0.0,574402.0,862990.0,99.12146138032983,0.0,892662.0,574402.0,892662.0,97.6867769770956
new_30,0.0,586498.0,586498.0,390490.0,85.01511632109622,0.0,586498.0,586498.0,422710.0,85.01511632109622,0.0,586498.0,586498.0,422710.0,85.01511632109622,0.0,586498.0,586498.0,422710.0,85.01511632109622,0.0,586498.0,390490.0,85.01511632109622,0.0,586498.0,586498.0,422710.0,85.01511632109622
new_31,3.165107960177563,1151630.0,696090.0,1151630.0,96.45368215251396,0.0,1125254.0,674058.0,1125254.0,96.32664014140371,0.0,1125254.0,674058.0,1125254.0,96.32664014140371,0.0,995178.0,674058.0,995178.0,99.99994948693885,3.165107960177563,696090.0,1151630.0,96.45368215251396,0.0,1125254.0,674058.0,1125254.0,96.32664014140371
new_32,0.0,865742.0,549658.0,865742.0,97.67948652221916,10.803109228697078,873451.0,616230.0,873451.0,97.5571551952424,3.164099799513053,864546.0,567618.0,864546.0,98.2407868488826,3.164099799513053,865742.0,567618.0,865742.0,97.8429691992232,11.63310386516146,622018.0,881162.0,99.14358994071893,0.0,865742.0,549658.0,865742.0,97.67948652221916
new_33,2.542463707488756,904882.0,578494.0,904882.0,97.98962792488358,0.0,904882.0,563786.0,904882.0,97.85880218667292,0.0,904882.0,563786.0,904882.0,97.85880218667292,3.095253646479682,872746.0,581794.0,872746.0,99.0895748536618,3.095253646479682,581794.0,872746.0,99.0895748536618,0.0,904882.0,563786.0,904882.0,97.85880218667292
new_34,16.369706290558536,776986.0,586498.0,776986.0,99.99991848153932,0.0,776986.0,490490.0,776986.0,99.99991848153932,0.0,776986.0,490490.0,776986.0,99.99991848153932,16.369706290558536,776986.0,586498.0,776986.0,99.99991848153932,16.369706290558536,586498.0,776986.0,99.99991848153932,0.0,776986.0,490490.0,776986.0,99.99991848153932
new_35,0.0,880526.0,574402.0,880526.0,99.9999317230674,0.0,885254.0,574402.0,885254.0,99.9999317230674,0.0,885254.0,574402.0,885254.0,99.9999317230674,0.0,885254.0,574402.0,885254.0,99.9999317230674,0.0,574402.0,880526.0,99.9999317230674,0.0,885254.0,574402.0,885254.0,99.9999317230674
new_36,0.0,486498.0,486498.0,406658.0,99.99989346044212,0.0,486498.0,486498.0,406658.0,99.99989346044212,0.0,486498.0,486498.0,406658.0,99.99989346044212,0.0,486498.0,486498.0,406658.0,99.99989346044212,0.0,486498.0,406658.0,99.99989346044212,0.0,486498.0,486498.0,406658.0,99.99989346044212
new_37,0.0,675234.0,503466.0,675234.0,88.7826835966716,0.0,675234.0,503466.0,675234.0,88.7826835966716,0.0,675234.0,503466.0,675234.0,88.7826835966716,0.0,675234.0,503466.0,675234.0,88.7826835966716,10.220087093288251,560778.0,607967.0,89.44549187491333,0.0,675234.0,503466.0,675234.0,88.7826835966716
new_38,0.0,693602.0,486498.0,693602.0,93.00513945389643,0.0,693602.0,486498.0,693602.0,93.00513945389643,0.0,693602.0,486498.0,693602.0,93.00513945389643,0.0,682507.0,486498.0,682507.0,93.24146447818978,0.0,486498.0,693602.0,93.00513945389643,0.0,693602.0,486498.0,693602.0,92.9696339676918
new_39,0.0,674058.0,586498.0,674058.0,91.02973497025503,0.0,674058.0,586498.0,674058.0,91.02973497025503,0.0,674058.0,586498.0,674058.0,91.02973497025503,0.0,674058.0,586498.0,674058.0,91.02973497025503,0.0,586498.0,674058.0,91.02973497025503,0.0,674058.0,586498.0,674058.0,91.02973497025503
new_40,3.3714867979779,836187.0,606498.0,836187.0,99.09821624464251,0.0,809122.0,586050.0,809122.0,97.6359232721094,0.0,809122.0,586050.0,809122.0,97.6359232721094,0.6496214497136715,876611.0,589882.0,876611.0,99.82431247118788,11.550036373076075,662578.0,929886.0,99.70719622469544,0.0,809122.0,586050.0,809122.0,97.6359232721094
new_41,0.0,875126.0,551994.0,875126.0,95.70816629302192,0.0,875126.0,551994.0,875126.0,95.70816629302192,0.0,875126.0,551994.0,875126.0,95.70816629302192,0.0,842990.0,551994.0,842990.0,97.72519978267222,17.371857626570627,668046.0,713115.0,99.70433921230013,0.0,875126.0,551994.0,875126.0,95.70816629302192
new_42,5.664536477002792,1126194.0,701346.0,1126194.0,98.7143201228311,0.0,1114854.0,661618.0,1114854.0,98.12027795297824,0.0,1114854.0,661618.0,1114854.0,98.12027795297824,5.664536477002792,1126194.0,701346.0,1126194.0,98.7143201228311,6.135634290772998,704866.0,1126194.0,98.70719124167202,0.0,1114854.0,661618.0,1114854.0,98.12027795297824
new_43,0.0,964546.0,490490.0,964546.0,98.70489819489973,0.0,964546.0,490490.0,964546.0,98.70489819489973,0.0,964546.0,490490.0,964546.0,98.70489819489973,0.0,964546.0,490490.0,964546.0,98.70489819489973,0.0,490490.0,964546.0,98.70489819489973,0.0,964546.0,490490.0,964546.0,98.70489819489973
new_44,0.0,747162.0,406658.0,747162.0,93.75531596716884,0.0,747958.0,406658.0,747958.0,93.49453591468952,0.0,747958.0,406658.0,747958.0,93.49453591468952,0.0,747162.0,406658.0,747162.0,93.75531596716884,0.0,406658.0,747162.0,93.75531596716884,0.0,752130.0,406658.0,752130.0,93.37879990660365
new_45,0.0,774058.0,674058.0,774058.0,96.45436464350558,0.0,774058.0,674058.0,774058.0,96.35999790064996,0.0,774058.0,674058.0,774058.0,96.35999790064996,0.0,774058.0,674058.0,774058.0,96.45436464350558,0.0,674058.0,774058.0,96.45436464350558,0.0,774058.0,674058.0,774058.0,96.35999790064996
new_46,0.0,774058.0,390490.0,774058.0,92.73421653445264,4.87222587639163,774058.0,410490.0,774058.0,90.14581863387428,0.0,774058.0,390490.0,774058.0,92.73421653445264,0.0,774058.0,390490.0,774058.0,92.73421653445264,7.622246930519742,422710.0,714978.0,88.615578720863,0.0,774058.0,390490.0,774058.0,92.73421653445264
